GamerTag,Achievements File,Games File,Achievements Last Scraped,Games Last Scraped,Location Last Scraped,LocationSrc,LocationAlt,LocationTitle
94YZSY,Yes,Yes,2023-05-31 22:46:53,2023-06-04 17:59:19,,,,
ENE3TX,Yes,Yes,2023-06-03 02:43:50,2023-06-07 21:34:44,2023-06-06 00:51:41,https://www.trueachievements.com/images/flags/United%20Kingdom(Great%20Britain).png,United Kingdom,United Kingdom
H8O2OV,Yes,Yes,2023-06-06 20:47:50,2023-06-07 22:30:49,,,,
42CX0Y,Yes,Yes,2023-06-06 19:46:49,2023-06-07 21:15:24,,,,
BWZNA8,Yes,Yes,2023-06-01 01:24:38,2023-06-04 16:42:58,,,,
QKFVFH,Yes,Yes,2023-06-06 21:49:38,2023-06-07 22:31:54,,,,
RIISJR,Yes,Yes,2023-06-01 00:05:38,5/29/2023 2:49,,,,
W4AA0I,Yes,Yes,2023-06-08 00:40:29,2023-06-07 22:38:43,,,,
71224V,Yes,Yes,2023-06-06 22:08:37,2023-06-07 23:22:01,,,,
4VILQ8,Yes,Yes,2023-05-30 07:06:39,5/29/2023 3:02,2023-06-06 00:13:27,None,None,None
LV9OFJ,Yes,Yes,2023-06-06 15:46:18,2023-06-07 15:56:42,,,,
C2IWT6,Yes,Yes,2023-06-06 19:28:09,2023-06-07 22:30:04,,,,
ZY87DZ,Yes,Yes,5/28/2023 19:11,5/29/2023 2:13,2023-06-06 00:33:02,None,None,None
P022D8,Yes,Yes,2023-06-06 14:37:48,2023-06-07 22:56:50,,,,
ZLZUE5,Yes,Yes,2023-06-02 13:43:04,2023-06-04 18:25:50,2023-06-06 00:37:00,None,None,None
E93LEW,Yes,Yes,2023-06-02 13:13:52,2023-06-04 01:11:36,2023-06-06 00:55:08,None,None,None
UO7OZE,Yes,Yes,2023-06-03 03:58:42,2023-06-04 18:50:59,2023-06-06 00:24:44,https://www.trueachievements.com/images/flags/United%20States%20of%20America(USA).png,USA,USA
4587RO,Yes,Yes,5/28/2023 14:09,2023-05-30 10:01:19,,,,
D24GPD,Yes,Yes,2023-06-06 20:41:49,2023-06-07 15:49:27,,,,
KEWY2S,Yes,Yes,2023-06-02 19:44:02,2023-06-04 17:39:54,,,,
EG9U19,Yes,Yes,2023-07-28 03:37:36,2023-07-29 10:48:06,,,,
VCMYBH,Yes,Yes,2023-06-03 00:52:01,2023-06-04 15:42:24,2023-06-06 00:53:13,None,None,None
84ELNI,Yes,Yes,2023-06-02 18:50:26,2023-06-07 15:51:17,,,,
DASVZZ,Yes,Yes,2023-06-03 05:31:55,2023-06-04 17:57:17,2023-06-06 00:35:33,https://www.trueachievements.com/images/flags/Canada.png,Canada,Canada
JASU9U,Yes,Yes,5/28/2023 15:44,5/29/2023 2:45,2023-06-06 00:46:07,None,None,None
FTAR0K,Yes,Yes,2023-06-07 15:14:00,2023-06-07 21:18:26,,,,
YAN03L,Yes,Yes,2023-06-03 10:31:07,2023-06-07 21:22:33,,,,
E95K6N,Yes,Yes,2023-06-06 15:53:01,2023-06-07 21:38:08,,,,
MWOKMF,Yes,Yes,2023-06-06 14:24:13,2023-06-07 22:59:36,,,,
F4721M,Yes,Yes,2023-06-06 22:41:17,2023-06-07 23:03:47,,,,
QBGRZ2,Yes,Yes,2023-06-03 09:06:31,2023-06-04 02:54:09,,,,
13NL40,Yes,Yes,2023-06-03 11:14:52,2023-06-04 18:31:41,2023-06-06 00:52:19,https://www.trueachievements.com/images/flags/England.png,England,England
KZNR1L,Yes,Yes,2023-06-02 15:56:13,2023-06-04 18:41:10,,,,
4KSNN1,Yes,Yes,2023-06-02 21:00:37,2023-06-04 17:25:20,2023-06-06 00:23:48,None,None,None
Y0OZX7,Yes,Yes,2023-05-30 07:08:20,5/28/2023 13:32,2023-06-06 00:20:52,None,None,None
CPUIBW,Yes,Yes,2023-06-03 09:58:37,2023-06-07 22:27:51,2023-06-06 00:36:33,https://www.trueachievements.com/images/flags/United%20States%20of%20America(USA).png,USA,USA
BXUMBG,Yes,Yes,2023-06-06 23:56:36,2023-06-07 15:53:28,,,,
IO3VGC,Yes,Yes,2023-06-07 15:29:04,2023-06-07 21:35:20,,,,
42G6V8,Yes,Yes,2023-06-03 11:40:52,2023-06-07 16:00:16,2023-06-06 00:42:28,https://www.trueachievements.com/images/flags/Brazil.png,Brazil,Brazil
PFKFRE,Yes,Yes,2023-05-30 02:08:33,5/29/2023 2:36,2023-06-06 00:17:39,None,None,None
T7A240,Yes,Yes,2023-06-03 02:35:16,2023-06-04 17:32:18,2023-06-06 00:15:49,https://www.trueachievements.com/images/flags/England.png,England,England
PF44DQ,Yes,Yes,2023-06-02 21:01:36,2023-06-04 18:39:50,2023-06-06 00:22:29,https://www.trueachievements.com/images/flags/Norway.png,Norway,Norway
Z4AYM6,Yes,Yes,2023-06-06 19:37:21,2023-06-07 22:11:59,,,,
RYHSGN,Yes,Yes,2023-06-03 11:51:00,2023-06-04 18:57:33,,,,
ENSFKS,Yes,Yes,2023-06-03 05:14:01,2023-06-07 23:19:03,,,,
UYZIUI,Yes,Yes,2023-06-02 15:25:50,2023-06-04 18:44:30,2023-06-06 00:42:23,https://www.trueachievements.com/images/flags/United%20Kingdom(Great%20Britain).png,United Kingdom,United Kingdom
PEUAEB,Yes,Yes,2023-06-02 13:16:01,2023-06-04 01:12:31,2023-06-06 00:47:38,None,None,None
XG1T2L,Yes,Yes,2023-06-03 03:53:06,2023-06-04 18:43:22,2023-06-06 00:53:47,None,None,None
WJ1KBR,Yes,Yes,2023-05-31 22:22:16,2023-06-04 17:22:57,,,,
IEE0VJ,Yes,Yes,2023-05-30 06:31:16,5/29/2023 1:48,2023-06-06 00:56:01,None,None,None
FLH6I7,Yes,Yes,5/28/2023 17:20,5/29/2023 2:06,2023-06-06 00:33:56,None,None,None
T1EMYF,Yes,Yes,2023-06-03 04:10:06,2023-06-07 23:16:02,,,,
S5XKJG,Yes,Yes,2023-06-03 11:40:31,2023-06-04 18:39:31,2023-06-06 00:33:29,None,None,None
L77NX9,Yes,Yes,2023-06-02 21:36:38,2023-06-04 17:48:14,2023-06-06 00:23:22,None,None,None
S37PN2,Yes,Yes,5/28/2023 16:26,5/29/2023 3:11,,,,
P4XZCD,Yes,Yes,2023-06-01 01:21:18,5/29/2023 3:10,,,,
T01QD4,Yes,Yes,2023-06-02 14:57:42,2023-06-04 18:10:03,,,,
Y1TAYE,Yes,Yes,5/28/2023 14:12,5/29/2023 1:59,2023-06-06 01:02:32,None,None,None
FSNPI0,Yes,Yes,5/28/2023 19:25,5/29/2023 1:55,2023-06-06 00:32:09,https://www.trueachievements.com/images/flags/Saudi%20Arabia.png,Saudi Arabia,Saudi Arabia
9W0U0Z,Yes,Yes,2023-06-06 13:59:29,2023-06-07 21:20:14,,,,
58J8J7,Yes,Yes,2023-06-06 16:16:52,2023-06-07 23:19:14,,,,
WYODXQ,Yes,Yes,2023-06-06 19:12:32,2023-06-07 23:02:19,,,,
DC4WU7,Yes,Yes,2023-05-31 16:53:19,2023-06-04 19:02:06,,,,
EGLZ63,Yes,Yes,2023-06-03 01:12:02,2023-06-04 16:26:51,2023-06-06 00:47:12,None,None,None
NWWVGN,Yes,Yes,2023-06-03 09:00:42,2023-06-07 22:47:11,2023-06-06 00:32:04,None,None,None
V2WR8N,Yes,Yes,2023-06-03 00:49:38,2023-06-07 22:52:27,,,,
SSS4QW,Yes,Yes,2023-06-02 19:55:47,2023-06-04 19:10:26,2023-06-06 00:34:01,https://www.trueachievements.com/images/flags/Italy.png,Italy,Italy
N8MOC9,Yes,Yes,2023-06-02 13:36:02,2023-06-04 19:05:06,2023-06-06 00:45:40,None,None,None
2LVNGU,Yes,Yes,2023-05-30 07:37:16,2023-05-30 09:54:10,2023-06-06 00:16:46,None,None,None
QO8VVF,Yes,Yes,2023-06-02 13:15:11,2023-06-04 01:11:58,,,,
P81WVS,Yes,Yes,2023-06-02 20:29:06,2023-06-04 02:54:35,,,,
FKHDZX,Yes,Yes,2023-06-03 10:51:13,2023-06-04 19:11:39,2023-06-06 00:14:25,None,None,None
T5ZB9D,Yes,Yes,2023-06-03 09:30:58,2023-06-04 18:22:25,2023-06-06 00:57:37,None,None,None
M1C4FR,Yes,Yes,5/28/2023 13:08,5/28/2023 13:32,2023-06-06 00:12:25,None,None,None
OY6UEB,Yes,Yes,2023-05-31 17:49:43,5/29/2023 3:13,2023-06-06 01:01:57,https://www.trueachievements.com/images/flags/France.png,France,France
3M8NB9,Yes,Yes,2023-07-28 03:58:20,2023-07-29 10:49:21,,,,
1TA10U,Yes,Yes,2023-06-02 17:49:57,2023-06-04 16:00:21,,,,
IKZYG2,Yes,Yes,2023-06-02 14:18:15,2023-06-07 22:15:32,,,,
Z7A6EF,Yes,Yes,2023-06-06 19:43:14,2023-06-07 23:31:19,,,,
8LQ9LN,Yes,Yes,2023-06-03 04:41:09,2023-06-04 18:54:54,2023-06-06 00:41:51,None,None,None
TYETX5,Yes,Yes,2023-06-03 09:33:45,2023-06-04 18:46:56,,,,
X72SCB,Yes,Yes,2023-06-02 18:31:47,2023-06-07 21:17:00,,,,
BDGAJ6,Yes,Yes,2023-06-02 23:07:33,2023-06-04 18:15:30,2023-06-06 00:42:34,https://www.trueachievements.com/images/flags/arizona.png,Arizona,Arizona
Z5JT3X,Yes,Yes,2023-06-03 04:45:15,2023-06-04 18:45:56,2023-06-06 00:28:26,None,None,None
ALQK9L,Yes,Yes,2023-06-06 21:33:45,2023-06-07 22:33:45,,,,
6YJDXR,Yes,Yes,2023-06-03 05:20:20,2023-06-07 22:36:36,2023-06-06 00:19:55,None,None,None
MM2JF4,Yes,Yes,2023-06-06 13:49:05,2023-06-07 22:52:49,,,,
YOWXZ0,Yes,Yes,2023-06-08 04:13:20,2023-06-07 23:32:10,,,,
JWRCMH,Yes,Yes,2023-06-02 20:38:50,2023-06-04 17:09:25,2023-06-06 00:19:02,None,None,None
UWXNIJ,Yes,Yes,2023-05-31 18:21:24,5/29/2023 2:28,2023-06-06 00:36:01,None,None,None
YIFV5V,Yes,Yes,2023-06-03 06:15:49,2023-06-04 18:48:08,2023-06-06 00:29:18,None,None,None
XCE4QL,Yes,Yes,2023-06-06 14:41:42,2023-06-07 23:32:45,,,,
PTK7OB,Yes,Yes,2023-06-02 16:51:33,2023-06-04 16:08:52,2023-06-06 00:26:08,https://www.trueachievements.com/images/flags/Malaysia.png,Malaysia,Malaysia
